date_key,full_date,year,quarter,month,month_name,day_of_month,day_of_week,day_name,week_of_year,is_weekend,is_holiday
20250101,2025-01-01,2025,1,1,January,1,4,Wednesday,1,FALSE,TRUE
20250102,2025-01-02,2025,1,1,January,2,5,Thursday,1,FALSE,FALSE
20250115,2025-01-15,2025,1,1,January,15,4,Wednesday,3,FALSE,FALSE
20250201,2025-02-01,2025,1,2,February,1,7,Saturday,5,TRUE,FALSE
20250214,2025-02-14,2025,1,2,February,14,6,Friday,7,FALSE,TRUE
20250301,2025-03-01,2025,1,3,March,1,7,Saturday,9,TRUE,FALSE
20250315,2025-03-15,2025,1,3,March,15,7,Saturday,11,TRUE,FALSE
20250401,2025-04-01,2025,2,4,April,1,3,Tuesday,14,FALSE,FALSE
20250415,2025-04-15,2025,2,4,April,15,3,Tuesday,16,FALSE,FALSE
20250501,2025-05-01,2025,2,5,May,1,5,Thursday,18,FALSE,TRUE
20250515,2025-05-15,2025,2,5,May,15,5,Thursday,20,FALSE,FALSE
20250601,2025-06-01,2025,2,6,June,1,1,Sunday,22,TRUE,FALSE
20250615,2025-06-15,2025,2,6,June,15,1,Sunday,24,TRUE,FALSE
20250701,2025-07-01,2025,3,7,July,1,3,Tuesday,27,FALSE,FALSE
20250704,2025-07-04,2025,3,7,July,4,6,Friday,27,FALSE,TRUE
20250715,2025-07-15,2025,3,7,July,15,3,Tuesday,29,FALSE,FALSE
20250801,2025-08-01,2025,3,8,August,1,6,Friday,31,FALSE,FALSE
20250815,2025-08-15,2025,3,8,August,15,6,Friday,33,FALSE,FALSE
20250901,2025-09-01,2025,3,9,September,1,2,Monday,36,FALSE,FALSE
20250915,2025-09-15,2025,3,9,September,15,2,Monday,38,FALSE,FALSE
20251001,2025-10-01,2025,4,10,October,1,4,Wednesday,40,FALSE,FALSE
20251015,2025-10-15,2025,4,10,October,15,4,Wednesday,42,FALSE,FALSE
20251031,2025-10-31,2025,4,10,October,31,6,Friday,44,FALSE,TRUE
20251101,2025-11-01,2025,4,11,November,1,7,Saturday,44,TRUE,FALSE
20251115,2025-11-15,2025,4,11,November,15,7,Saturday,46,TRUE,FALSE
20251127,2025-11-27,2025,4,11,November,27,5,Thursday,48,FALSE,TRUE
20251201,2025-12-01,2025,4,12,December,1,2,Monday,49,FALSE,FALSE
20251215,2025-12-15,2025,4,12,December,15,2,Monday,51,FALSE,FALSE
20251225,2025-12-25,2025,4,12,December,25,5,Thursday,52,FALSE,TRUE
20251231,2025-12-31,2025,4,12,December,31,4,Wednesday,1,FALSE,FALSE

